temporalis | Temporalis | A major jaw-closing muscle occupying much of the lateral/dorsal skull in the dog. | Temporal fossa, deep to temporal fascia and superficial to the cranial vault. | Temporal fossa and temporal fascia to coronoid process of mandible. | Elevates the mandible, closing the jaw; fiber direction also helps control mandibular position. | Deep temporal branches of the mandibular division of trigeminal nerve (CN V). | Distinguish muscles of mastication from facial-expression muscles. Their motor nerve supply differs. | Which mandibular process receives temporalis? | L23,L25
masseter | Masseter | A powerful layered muscle for jaw closure. | Lateral to the mandibular ramus, below the zygomatic arch. | Zygomatic arch to masseteric fossa and lateral mandibular ramus. | Elevates the mandible and contributes to stable occlusion during chewing. | Masseteric branch of mandibular division of trigeminal nerve (CN V). | A single external mesh may combine deeper and superficial layers. Muscle contour alone does not establish bite force or discomfort. | What bony arch forms its major cranial attachment? | L23,L25
pterygoideus_med | Medial pterygoid | A deep jaw-closing muscle on the inner side of the mandibular ramus. | Medial to the mandible, near the pterygoid region of the skull. | Pterygoid/palatine/sphenoid region to medial mandibular ramus. | Elevates the mandible and assists small transverse movements during chewing. | Mandibular division of trigeminal nerve (CN V). | Compare its medial location with the lateral masseter; together they provide complementary support around the mandibular ramus. | Which similarly named muscle lies closer to the mandibular condyle? | L23,L25
pterygoideus_lat | Lateral pterygoid | A smaller deep masticatory muscle near the temporomandibular joint. | Medial to the mandibular condylar region, dorsal to much of the medial pterygoid. | Sphenoid/pterygoid region to medial mandibular condylar neck and associated joint tissues. | Contributes to protraction and small side-to-side mandibular positioning. | Mandibular division of trigeminal nerve (CN V). | Canine jaw mechanics are mainly hinge-like compared with species specialized for grinding; do not import large human or herbivore excursions. | How does its condylar attachment differ from temporalis’s coronoid attachment? | L23,L25
digastricus | Digastricus | The principal jaw opener, with rostral and caudal portions that can appear continuous in the dog. | Ventral/caudal to the mandible, extending from the caudal skull toward the jaw body. | Jugular process of occipital bone to ventral/medial mandible. | Depresses the mandible and opens the mouth when the cranial attachment is stabilized. | Rostral portion: mandibular division of CN V; caudal portion: facial nerve (CN VII). | Its dual motor supply is a useful contrast with the jaw-closing muscles. Do not interpret one grouped mesh as one nerve territory. | Which cranial nerve supplies the caudal portion? | L23,L25
mylohyoideus | Mylohyoideus | A thin muscular floor supporting the tongue and oral cavity. | Between the medial surfaces of the mandibles, ventral to the tongue. | Mylohyoid lines of mandibles to a median raphe and basihyoid region. | Elevates/supports the oral floor and tongue during swallowing-related movement. | Mylohyoid branch of mandibular division of trigeminal nerve (CN V). | It is a floor-of-mouth structure, not a primary cervical postural muscle. Nearby tongue and hyoid structures may not all be modeled. | What midline structure joins its left and right sheets? | L23,L25
geniohyoideus | Geniohyoideus | A paired strap muscle connecting the rostral mandible to the hyoid. | Deep to mylohyoideus, along the ventral oral floor. | Mandibular symphyseal region to basihyoid bone. | Draws the hyoid and tongue base rostrally during coordinated oral/swallowing movements. | Hypoglossal nerve (CN XII). | Distinguish movement of the hyoid from movement of the mandible. Muscle action depends on which attachment is stabilized. | Which bone forms its caudal attachment? | L23,L25
buccinator | Buccinator | A cheek muscle that keeps food between the teeth; it belongs to facial musculature rather than the jaw-closing group. | Within the cheek wall, lateral to the oral cavity and deep to superficial facial tissues. | Maxillary/mandibular alveolar regions to the cheek and mouth-angle muscular complex. | Compresses the cheek against the teeth and assists food handling. | Facial nerve (CN VII). | The buccal nerve of CN V is sensory, whereas facial-nerve branches provide the muscle’s motor control. Do not confuse the similarly named nerves. | Why is buccinator not grouped with masseter for motor innervation? | L22,L25
orbicularis_oris | Orbicularis oris | A lip-associated sphincter-like muscle integrated with neighboring facial muscles. | Within upper and lower lips around the oral opening. | Fibers interlace around the mouth and with adjacent facial-muscle insertions rather than forming one simple bone-to-bone span. | Closes and shapes the lips during feeding and facial movement. | Facial nerve (CN VII). | Lip motor control differs from jaw force. An outer face model does not show all layered insertions or mucosal relationships. | Which nerve closes the lips, and which nerve primarily closes the jaw? | L22,L25
orbicularis_oculi | Orbicularis oculi | The eyelid-closing facial muscle surrounding the palpebral opening. | Within and around the eyelids, superficial to the orbit. | Medial orbital/palpebral attachments and interlacing eyelid fibers. | Closes the eyelids for blinking and protective eye coverage. | Facial nerve (CN VII); sensory input for corneal reflexes uses trigeminal pathways, not the same motor nerve. | Separate eyelid motion from movement of the eyeball. The atlas does not reproduce the full protective reflex circuit. | Which cranial nerve provides the motor limb of eyelid closure? | L24,L25
retractor_anguli_oculi | Retractor anguli oculi lateralis | A small facial muscle acting on the lateral eyelid angle. | Lateral to the palpebral opening, near temporal/zygomatic fascia. | Temporal/zygomatic fascial region to lateral angle of the eyelids. | Retracts the lateral eyelid angle, modifying the palpebral opening. | Facial nerve (CN VII). | Do not confuse it with retractor bulbi, which retracts the eyeball and has a different innervation. | Which structure does this muscle move: eyelid angle or globe? | L24,L25
levator_labii_sup | Levator labii superioris | A facial muscle elevating the upper lip. | Rostral face, extending from the infraorbital/maxillary region into the upper lip. | Maxillary region to upper lip through facial soft-tissue attachments. | Raises the upper lip and helps alter the oral opening. | Facial nerve (CN VII). | The nearby infraorbital nerve is chiefly sensory to the region; proximity is not proof that it supplies this muscle’s motor action. | Which nerve division carries facial sensation near the upper lip? | L22,L25
caninus | Caninus | A facial muscle associated with the upper lip and nasal region. | Lateral rostral face, close to other upper-lip and nasal facial muscles. | Maxillary region to upper-lip/nasal soft tissues. | Elevates/retracts upper-lip tissues and contributes to shaping the rostral facial opening. | Facial nerve (CN VII). | Its name is shared with a tooth type; do not confuse the muscle with the canine tooth or a jaw-closing muscle. | Does its motor supply follow facial-expression or mastication pathways? | L22,L25
zygomaticus | Zygomaticus | A slender facial muscle drawing the mouth angle caudally. | Superficial lateral face, extending toward the oral commissure. | Scutiform/adjacent auricular fascial region to angle of the mouth. | Retracts the oral commissure and participates in facial expression and food handling. | Facial nerve (CN VII). | Facial movements involve several interlacing muscles; a single mesh is not an independent measure of facial-nerve function. | What is the anatomical term for the mouth corner? | L22,L25
interscutularis | Interscutularis | An auricular-associated facial muscle linking the scutiform-cartilage regions across the head. | Superficial dorsal head between the bases of the external ears. | Left and right scutiform-cartilage/fascial regions through the intervening muscular sheet. | Repositions the scutiform cartilages and assists coordinated ear positioning. | Facial nerve (CN VII). | Ear orientation is not a measure of spinal mobility. Distinguish auricular muscles from the much deeper temporalis beneath them. | Which cartilage helps organize the small external-ear muscles? | L24,L25
Skutulum | Scutiform cartilage · likely source identity | The nonstandard label and head location suggest the small scutiform cartilage, an attachment platform for auricular muscles. | Superficial head near the medial/rostral base of the external ear. | Cartilaginous support embedded in auricular connective tissue with multiple small muscle attachments; it is not a freely articulated skull bone. | Transmits forces between auricular muscles during external-ear positioning. | Cartilage has no skeletal-muscle motor innervation; surrounding auricular muscles are supplied by CN VII. | Keep the probable identity qualification visible. A source prefix m_ does not prove that a piece is contractile muscle. | Why should this source item be treated as connective/supporting tissue? | MODEL,L24
eye | Eye / globe surface | The selected eye piece is a surface representation of the ocular region, not a full eye dissection. Multiple source pieces can overlap here. | Within the orbit, deep to the eyelids and adjacent to extraocular muscles and orbital tissues. | The globe is supported by orbital connective tissue and moved by extraocular muscle insertions; lens, retina and internal layers are not separately identified here. | Vision and gaze orientation contribute to navigation and postural control, but these functions are not simulated by this mesh. | Optic nerve carries visual input; CN III, IV and VI control extraocular muscles. | Distinguish a visual model from a clinical vision or vestibular examination. The selected piece alone does not encode all those pathways. | Which cranial nerve carries visual information rather than moving the globe? | L24,L25
