# key | title | overview | location | attachments | function | nerve | physio | recall | sources
supraspinatus | Supraspinatus | An intrinsic shoulder muscle that links the scapula directly to the humerus. Its tendon is part of the shoulder's active support system. | Occupies the fossa cranial to the scapular spine, deep to the superficial shoulder coverings. | Supraspinous fossa and scapular spine to the greater tubercle of the humerus. | Extends the shoulder and helps maintain alignment during loading. Its tendon crosses the cranial shoulder. | Suprascapular nerve. | Relate shoulder support to both muscle activity and tendon integrity; a surface model cannot establish which tissue is painful. | Which scapular ridge separates this muscle from infraspinatus? | L03,L13
infraspinatus | Infraspinatus | A broad intrinsic shoulder muscle with an important lateral stabilizing role. | Fills the infraspinous fossa, caudal to the scapular spine. Its tendon passes across the lateral shoulder. | Infraspinous fossa to the lateral proximal humerus near the greater tubercle. | Abducts and laterally rotates the humerus; its flexion or extension effect depends on joint position. Supports the shoulder laterally. | Suprascapular nerve. | Compare muscle, tendon and joint position when studying shoulder mechanics; do not infer a fixed action from a single still pose. | Why can changing shoulder position change the tendon’s moment arm? | L03,PROX
subscapularis | Subscapularis | The principal muscle occupying the medial scapular surface. | Lies between the scapula and the thoracic wall; its short tendon crosses the medial shoulder capsule. | Subscapular fossa to the lesser tubercle of the humerus. | Adducts and stabilizes the arm, contributing to medial shoulder support and position-dependent shoulder motion. | Subscapular nerves; axillary contribution is described in canine regional anatomy. | A lateral view hides much of this muscle. Rotate the model medially to understand how it opposes lateral shoulder displacement. | Which humeral tubercle receives the tendon? | L03,L13
deltoideus_acromialis | Deltoideus · acromial part | One of the two canine deltoid parts, distinct from the scapular part. | Superficial to the lateral shoulder, extending from the acromion toward the upper arm. | Acromion to the deltoid tuberosity of the humerus. | Flexes the shoulder and assists abduction of the humerus. It does not cross the elbow. | Axillary nerve. | Compare its short acromial origin with the more extensive scapular origin of the other deltoid part. | Which joint can this part act on, and which adjacent joint can it not directly cross? | L03,PROX
deltoideus_scapularis | Deltoideus · scapular part | The scapular portion of the deltoid muscle forms part of the superficial shoulder contour. | Covers part of infraspinatus and converges toward the lateral humerus. | Scapular spine through an aponeurotic attachment to the deltoid tuberosity. | Flexes the shoulder and contributes to humeral abduction. | Axillary nerve. | Study superficial deltoid separately from the deeper infraspinatus; their proximity does not make their actions identical. | What attachment is shared by the two deltoid parts? | L03,PROX
teres_major | Teres major | A caudomedial shoulder muscle, often associated distally with the latissimus dorsi tendon. | Runs from the caudal scapular angle to the medial proximal humerus, behind subscapularis. | Caudal angle and adjacent border of scapula to the teres major tuberosity of the humerus. | Flexes the shoulder, adducts the arm and contributes to medial rotation. | Axillary nerve. | Its medial insertion explains why a purely lateral image can conceal its line of pull. Compare it with teres minor before memorizing actions. | How do the insertions of teres major and minor differ? | L03,L13
teres_minor | Teres minor | A small intrinsic shoulder muscle adjacent to the lateral joint capsule. | Deep to the deltoid region, along the distal caudal scapula and caudolateral shoulder. | Distal caudal scapular border to the teres minor tuberosity of the humerus. | Flexes the shoulder and assists lateral rotation and local stabilization. | Axillary nerve. | Its small size makes isolation useful for learning relationships; small mesh size does not imply negligible stabilizing importance. | Which larger muscle lies immediately cranial to its scapular region? | L03,PROX
coracobrachialis | Coracobrachialis | A short muscle spanning the medial shoulder. | Lies medial to the proximal humerus, close to the shoulder capsule and subscapularis tendon. | Coracoid process of the scapula to the medial humerus. | Adducts the arm and assists shoulder stabilization and extension. | Musculocutaneous nerve. | Distinguish this small medial shoulder muscle from brachialis, which primarily flexes the elbow. | Does coracobrachialis attach to the radius or ulna? | L03,L13
biceps_brachii | Biceps brachii | A two-joint muscle despite the single-headed canine proximal origin; its name should not be interpreted using human anatomy. | Runs along the cranial humerus; the proximal tendon passes through the intertubercular groove. | Supraglenoid tubercle of scapula to proximal radius and ulna. | Flexes the elbow and extends the shoulder; the proximal tendon also supports the shoulder. | Musculocutaneous nerve. | Consider both joints when reasoning about muscle length. Elbow motion alone does not describe the full length change of this muscle. | Which two joint positions would lengthen its course? Explain anatomically rather than attempting a stretch. | L03,L13
brachialis | Brachialis | An elbow flexor with a curved course around the humerus. | Occupies the brachialis groove, passing from the caudoproximal humerus toward the medial elbow. | Proximal caudal humerus to the proximal medial ulna and radius. | Flexes the elbow without crossing the shoulder. | Musculocutaneous nerve. | Contrast this single-joint elbow flexor with biceps brachii. Their common distal region can obscure their different proximal relationships. | Why does shoulder position affect biceps length more directly than brachialis length? | L03,L13
triceps_brachii_long | Triceps brachii · long head | The triceps head that spans both shoulder and elbow. | Forms much of the caudal arm between the scapula and olecranon. | Caudal border of scapula to olecranon through the common triceps tendon. | Extends the elbow and flexes the shoulder. Resists elbow collapse during weight bearing. | Radial nerve. | Separate its two-joint behavior from the humeral triceps heads; all reach the olecranon, but only this head originates on the scapula. | Which triceps head directly crosses the shoulder? | L03,CRI
triceps_brachii_lateral | Triceps brachii · lateral head | A humeral head of triceps visible on the lateral arm. | Lateral to the long head and proximal humerus, converging toward the elbow. | Proximal lateral humerus to olecranon. | Extends the elbow; it does not directly move the shoulder because it does not cross that joint. | Radial nerve. | When revising stance support, trace the triceps lever arm from the elbow axis to the olecranon. | Why is the olecranon an important lever rather than just an attachment label? | L03,CRI
triceps_brachii_medial | Triceps brachii · medial head | A smaller triceps head on the inner surface of the arm. | Medial to the humerus, near the other elbow extensor components. | Medial humeral shaft to olecranon. | Extends and stabilizes the elbow. Its direct mechanical effect is at the elbow, not the shoulder. | Radial nerve. | Medial access is needed to distinguish it from the long head and tensor fasciae antebrachii. | Which origin distinguishes this head from the long head? | L03,CRI
triceps_brachii_accessory | Triceps brachii · accessory head | The deep fourth head of the canine triceps complex. | Close to the caudal humerus and largely concealed by other triceps heads. | Humeral neck region to olecranon. | Contributes to elbow extension and active support of the elbow during loading. | Radial nerve. | Isolate the deep portion to learn why the four anatomical heads may not be evident from the outer arm contour. | Name the four canine triceps heads and identify the one arising on the scapula. | L03,CRI
